date,value,sensor_id,location_id,location_name,parameter
2025-01-08,89.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-08,109.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-08,114.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-08,90.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-08,112.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-08,110.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-08,120.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-08,68.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-08,77.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-08,117.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-08,90.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-08,124.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-13,47.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-14,68.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-15,77.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-16,74.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-17,76.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-18,71.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-19,52.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-20,59.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-21,101.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-22,57.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-23,49.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-24,40.6,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-25,30.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-26,71.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-27,109.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-28,83.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-29,69.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-30,55.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-31,23.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-09,22.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-09,38.6,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-09,51.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-09,54.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-09,67.6,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-09,59.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-09,67.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-09,77.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-09,78.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-09,95.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-09,96.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-09,99.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-13,112.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-14,116.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-15,112.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-16,106.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-17,107.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-18,128.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-19,133.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-20,135.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-21,144.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-22,123.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-23,139.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-24,120.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-25,123.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-26,182.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-27,90.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-28,120.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-29,97.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-30,93.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-10,79.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-10,82.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-10,136.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-10,143.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-10,69.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-10,38.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-10,79.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-10,110.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-10,204.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-10,187.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-10,177.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-10,195.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-13,209.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-14,150.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-15,191.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-16,200.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
