date,pm10_avg,pm25_avg
2016-12-18,449.3333333333333,253.6
2016-12-19,291.3333333333333,179.6
2016-12-20,250.66666666666666,128.24
2016-12-21,389.3333333333333,184.0
2016-12-22,576.3333333333334,387.6
2016-12-23,707.6666666666666,510.25
2016-12-24,365.6666666666667,244.0
2016-12-25,309.6666666666667,177.25
2016-12-26,396.0,238.75
2016-12-27,489.6666666666667,300.0
2016-12-28,516.6666666666666,339.25
2016-12-29,362.6666666666667,259.75
2016-12-30,358.6666666666667,256.25
2016-12-31,370.0,270.75
2017-01-01,416.6666666666667,286.0
2017-01-02,359.0,215.0
2017-01-03,324.0,247.75
2017-01-04,322.6666666666667,189.25
2017-01-05,265.6666666666667,180.75
2017-01-06,185.33333333333334,149.75
2017-01-07,212.66666666666666,146.25
2017-01-08,265.6666666666667,146.75
2017-01-09,235.66666666666666,124.2
2017-01-10,290.3333333333333,161.0
2017-01-11,411.3333333333333,232.5
2017-01-12,390.3333333333333,255.75
2017-01-13,386.0,366.75
2017-01-14,203.0,211.5
2017-01-15,265.6666666666667,166.5
2017-01-16,197.0,126.0
2017-01-17,247.33333333333334,168.75
2017-01-18,221.33333333333334,117.25
2017-01-19,188.66666666666666,112.05
2017-01-20,235.0,216.5
2017-01-21,358.0,285.5
2017-01-22,223.0,220.5
2017-01-23,364.3333333333333,193.75
2017-01-24,359.0,222.75
2017-01-25,154.86666666666667,114.76666666666667
2017-01-26,78.56666666666666,71.15
2017-01-27,127.86666666666667,91.95
2017-01-28,156.0,113.0
2017-01-29,256.0,170.5
2017-01-30,272.6666666666667,179.0
2017-01-31,218.0,131.0
2017-02-01,381.0,204.5
2017-02-02,380.6666666666667,207.25
2017-02-03,251.66666666666666,162.0
2017-02-04,48.0,2.5
2017-02-05,186.0,44.0
2017-02-06,192.0,85.225
2017-02-07,288.6666666666667,136.45
2017-02-08,265.0,135.75
2017-02-09,227.33333333333334,108.2
2017-02-10,271.6666666666667,136.5
2017-02-11,206.0,200.0
2017-02-12,266.0,136.5
2017-02-13,330.0,160.6
2017-02-14,323.0,152.5
2017-02-15,303.6666666666667,168.75
2017-02-16,302.6666666666667,152.15
2017-02-17,307.5,118.75
2017-02-18,303.5,130.28571428571428
2017-02-19,322.0,147.275
2017-02-20,235.66666666666666,96.375
2017-02-21,175.66666666666666,118.125
2017-02-22,191.0,93.0625
2017-02-23,105.0,73.58
2017-02-24,105.0,77.76666666666667
2017-02-25,136.0,96.85000000000001
2017-02-26,212.33333333333334,93.85
2017-02-27,312.0,152.15
2017-02-28,304.6666666666667,132.4625
2017-03-01,255.66666666666666,114.5375
2017-03-02,148.66666666666666,64.6625
2017-03-03,160.0,79.075
2017-03-04,196.33333333333334,93.72857142857143
2017-03-05,208.66666666666666,87.55
2017-03-06,281.3333333333333,113.7125
2017-03-07,198.33333333333334,76.775
2017-03-08,101.3,60.8625
2017-03-09,77.15,49.475
2017-03-10,68.7,44.8125
2017-03-11,137.13333333333333,59.474999999999994
2017-03-12,158.16666666666666,66.1375
2017-03-13,286.8,75.575
2017-03-14,306.0,106.225
2017-03-15,316.0,117.375
2017-03-16,255.0,95.45
2017-03-17,233.66666666666666,99.375
2017-03-18,316.6666666666667,126.7125
2017-03-19,321.6666666666667,113.7875
2017-03-20,331.6666666666667,110.675
2017-03-21,329.0,117.6875
2017-03-22,328.0,153.3375
2017-03-23,277.0,128.125
2017-03-24,230.33333333333334,61.35
2017-03-25,226.0,66.32375
2017-03-26,195.66666666666666,74.3125
2017-03-27,283.0,120.21428571428571
2017-03-28,260.3333333333333,105.325
2017-03-29,184.0,73.57142857142857
2017-03-30,234.0,89.15
2017-03-31,240.66666666666666,104.7375
2017-04-01,190.0,80.85714285714286
2017-04-02,177.73333333333335,81.875
2017-04-03,222.33333333333334,88.75
2017-04-04,169.13333333333333,49.125
2017-04-05,258.6666666666667,84.525
2017-04-06,525.0,181.75
2017-04-07,367.0,104.65
2017-04-08,177.53333333333333,59.45
2017-04-09,193.0,78.7875
2017-04-10,283.3333333333333,133.8625
2017-04-11,270.6666666666667,96.325
2017-04-12,294.0,136.5375
2017-04-13,365.0,187.0
2017-04-14,336.6666666666667,165.375
2017-04-15,375.0,163.71428571428572
2017-04-16,353.6666666666667,142.875
2017-04-17,370.0,160.9375
2017-04-18,341.6666666666667,121.8875
2017-04-19,346.0,125.13749999999999
2017-04-20,296.0,134.96666666666667
2017-04-21,274.0,132.11666666666667
2017-04-22,270.0,97.0
2017-04-23,110.0,55.300000000000004
